Id,NameKey,EffectKey,Category,Rarity,EffectType,EffectValue,EffectParam
105,Card105Name,Card105Effect,Offense,Common,PierceAdd,1,
106,Card106Name,Card106Effect,Offense,Rare,PierceAdd,2,
107,Card107Name,Card107Effect,Offense,Legendary,DoubleShot,1,
108,Card108Name,Card108Effect,Offense,Rare,SpeciesBonusDamage,5,Normal
109,Card109Name,Card109Effect,Offense,Common,VariantBonusDamage,2,Normal
110,Card110Name,Card110Effect,Offense,Rare,VariantBonusDamage,4,Elite
111,Card111Name,Card111Effect,Offense,Epic,VariantBonusDamage,8,Boss
201,Card201Name,Card201Effect,Speed,Common,AttackSpeedPercent,12,
202,Card202Name,Card202Effect,Speed,Rare,AttackSpeedPercent,24,
203,Card203Name,Card203Effect,Speed,Common,ProjectileSpeedPercent,25,
204,Card204Name,Card204Effect,Speed,Rare,ProjectileSpeedPercent,60,20
205,Card205Name,Card205Effect,Speed,Legendary,AttackSpeedPercent,80,-30
301,Card301Name,Card301Effect,Utility,Common,RangePercent,15,
302,Card302Name,Card302Effect,Utility,Rare,RangePercent,35,
303,Card303Name,Card303Effect,Utility,Epic,SplashEnable,1.5,
304,Card304Name,Card304Effect,Utility,Epic,ChainEnable,3,2.0
308,Card308Name,Card308Effect,Utility,Epic,LaserDurationAdd,3.5,
309,Card309Name,Card309Effect,Utility,Epic,ArcherAttackSpeedPercent,40,
310,Card310Name,Card310Effect,Utility,Epic,HomingTurnRateAdd,4,
311,Card311Name,Card311Effect,Utility,Epic,CritChance,10,
312,Card312Name,Card312Effect,Utility,Epic,CritMultiplier,1.0,
401,Card401Name,Card401Effect,Defense,Common,MaxHpAdd,20,
402,Card402Name,Card402Effect,Defense,Rare,MaxHpAdd,50,
403,Card403Name,Card403Effect,Defense,Rare,HealPerSecond,0.1,
404,Card404Name,Card404Effect,Defense,Epic,ShieldBurstThreshold,30,
405,Card405Name,Card405Effect,Defense,Epic,LifestealOnKill,0.5,5
406,Card406Name,Card406Effect,Defense,Legendary,ReviveOnce,50,
501,Card501Name,Card501Effect,Special,Legendary,MaxHpPercent,-50,150
502,Card502Name,Card502Effect,Special,Legendary,BerserkerCurve,100,
503,Card503Name,Card503Effect,Special,Legendary,OrbitalRing,5,
504,Card504Name,Card504Effect,Special,Legendary,TimeSlowAura,25,
601,Card601Name,Card601Effect,Weapon,Epic,WeaponUnlock,1,
602,Card602Name,Card602Effect,Weapon,Epic,WeaponUnlock,2,
603,Card603Name,Card603Effect,Weapon,Epic,WeaponUnlock,4,
604,Card604Name,Card604Effect,Weapon,Epic,WeaponUnlock,5,
605,Card605Name,Card605Effect,Weapon,Epic,WeaponUnlock,6,
606,Card606Name,Card606Effect,Weapon,Epic,WeaponUnlock,7,
607,Card607Name,Card607Effect,Weapon,Epic,WeaponUnlock,8,
