Id,DisplayName,Branch,EffectType,EffectValue,EffectParam,Cost,PrereqId
101,MetaTreeNode101,StartingPower,MaxHp,10,,20,0
102,MetaTreeNode102,StartingPower,MaxHp,20,,50,101
103,MetaTreeNode103,StartingPower,DamagePercent,10,,30,0
104,MetaTreeNode104,StartingPower,DamagePercent,20,,80,103
105,MetaTreeNode105,StartingPower,RangePercent,10,,40,0
106,MetaTreeNode106,StartingPower,MaxHp,30,,100,102
107,MetaTreeNode107,StartingPower,DamagePercent,30,,150,104
108,MetaTreeNode108,StartingPower,RangePercent,15,,70,105
109,MetaTreeNode109,StartingPower,AttackSpeedPercent,8,,40,0
201,MetaTreeNode201,CardPool,UnlockCard,0,Pierce1,60,0
202,MetaTreeNode202,CardPool,UnlockCard,0,Splash1,80,201
203,MetaTreeNode203,CardPool,UnlockCard,0,GlassCannon,150,202
204,MetaTreeNode204,CardPool,UnlockCard,0,OrbitalRing,200,202
205,MetaTreeNode205,CardPool,UnlockCard,0,OrbitalSlowWeapon,220,204
206,MetaTreeNode206,CardPool,UnlockCard,0,MortarWeapon,220,204
302,MetaTreeNode302,Economy,XpPercent,20,,100,0
303,MetaTreeNode303,Economy,ShardPercent,25,,150,0
304,MetaTreeNode304,Economy,XpPercent,20,,200,302
305,MetaTreeNode305,Economy,ShardPercent,25,,250,303
401,MetaTreeNode401,Utility,RerollCount,1,,80,0
402,MetaTreeNode402,Utility,RerollCount,2,,150,401
403,MetaTreeNode403,Utility,RerollCount,3,,120,401
404,MetaTreeNode404,Utility,RerollCount,2,,250,402
405,MetaTreeNode405,Utility,WeaponSlotCount,1,,350,404
406,MetaTreeNode406,Utility,WeaponDamagePercent,15,1,180,0
407,MetaTreeNode407,Utility,WeaponDamagePercent,15,2,180,0
408,MetaTreeNode408,Utility,WeaponDamagePercent,15,3,180,0
409,MetaTreeNode409,Utility,WeaponDamagePercent,15,4,180,0
410,MetaTreeNode410,Utility,WeaponDamagePercent,15,5,180,0
411,MetaTreeNode411,Utility,WeaponDamagePercent,15,6,180,0
413,MetaTreeNode413,Utility,WeaponDamagePercent,15,8,180,0
