Id,WaveId,SpawnOrder,EnemyId
1,1,1,1
2,1,2,1
3,1,3,1
4,1,4,1
5,1,5,1
6,2,1,1
7,2,2,1
8,2,3,1
9,2,4,1
10,2,5,1
11,2,6,2
12,2,7,2
13,2,8,1
14,2,9,1
15,2,10,1
16,3,1,1
17,3,2,1
18,3,3,1
19,3,4,2
20,3,5,2
21,3,6,2
22,3,7,2
23,3,8,3
24,3,9,1
25,3,10,1
26,3,11,1
27,4,1,1
28,4,2,1
29,4,3,1
30,4,4,1
31,4,5,2
32,4,6,2
33,4,7,2
34,4,8,3
35,4,9,1
36,4,10,1
37,4,11,1
38,4,12,1
39,4,13,2
40,4,14,2
41,4,15,3
42,5,1,1
43,5,2,1
44,5,3,1
45,5,4,1
46,5,5,2
47,5,6,2
48,5,7,2
49,5,8,3
50,5,9,3
51,5,10,1
52,5,11,1
53,5,12,1
54,5,13,1
55,5,14,2
56,5,15,2
57,5,16,2
58,5,17,3
59,5,18,3
60,5,19,1
61,5,20,1
